#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season
10,Dan Issel,DEN,13,460.0,262,103,212,0.486,-,-,-,56,65,0.862,41,93,134,53,7,3,39,43,1977-1978
11,John Johnson,SEA,22,596.0,222,95,224,0.424,-,-,-,32,46,0.696,35,64,99,56,8,6,52,64,1977-1978
12,Julius Erving,PHI,10,358.0,218,88,180,0.489,-,-,-,42,56,0.75,40,57,97,40,15,18,35,30,1977-1978
13,Marques Johnson,MIL,9,321.0,216,84,153,0.549,-,-,-,48,64,0.75,35,77,112,31,10,17,14,25,1977-1978
14,Charles Johnson,WAS,21,425.0,215,93,229,0.406,-,-,-,29,37,0.784,20,33,53,48,30,0,26,51,1977-1978
15,Mitch Kupchak,WAS,21,504.0,213,84,199,0.422,-,-,-,45,69,0.652,49,78,127,22,4,3,42,58,1977-1978
16,Anthony Roberts,DEN,13,400.0,212,86,199,0.432,-,-,-,40,50,0.8,45,63,108,30,11,6,27,57,1977-1978
17,Doug Collins,PHI,10,342.0,204,82,165,0.497,-,-,-,40,49,0.816,8,23,31,27,3,0,23,29,1977-1978
18,Tom Henderson,WAS,21,597.0,202,72,173,0.416,-,-,-,58,79,0.734,17,30,47,106,27,5,31,36,1977-1978
19,George Gervin,SAS,6,227.0,199,78,142,0.549,-,-,-,43,56,0.768,11,23,34,19,6,16,19,23,1977-1978
20,Brian Winters,MIL,9,305.0,184,82,165,0.497,-,-,-,20,27,0.741,4,26,30,58,12,8,29,20,1977-1978
21,Larry Wright,WAS,21,402.0,171,76,163,0.466,-,-,-,19,25,0.76,7,24,31,67,17,2,25,58,1977-1978
22,Wes Unseld,WAS,18,677.0,169,71,134,0.53,-,-,-,27,46,0.587,72,144,216,79,17,7,36,62,1977-1978
23,Bobby Jones,DEN,13,390.0,166,66,116,0.569,-,-,-,34,46,0.739,36,66,102,35,16,9,24,42,1977-1978
24,World B. Free,PHI,10,268.0,161,51,124,0.411,-,-,-,59,81,0.728,10,21,31,37,4,6,26,26,1977-1978
25,George McGinnis,PHI,10,273.0,147,53,125,0.424,-,-,-,41,49,0.837,24,54,78,30,15,1,38,40,1977-1978
26,Bob McAdoo,NYK,6,238.0,143,61,126,0.484,-,-,-,21,35,0.6,11,47,58,23,7,12,23,19,1977-1978
27,Steve Mix,PHI,10,235.0,136,49,82,0.598,-,-,-,38,43,0.884,17,29,46,36,15,1,12,22,1977-1978
28,Alex English,MIL,9,208.0,121,48,78,0.615,-,-,-,25,32,0.781,16,26,42,13,6,7,12,20,1977-1978
29,Bob Wilkerson,DEN,13,426.0,120,47,127,0.37,-,-,-,26,42,0.619,20,51,71,78,19,4,25,55,1977-1978
30,Dave Meyers,MIL,9,279.0,116,44,99,0.444,-,-,-,28,42,0.667,27,47,74,35,7,11,25,32,1977-1978
31,Paul Silas,SEA,22,605.0,107,33,94,0.351,-,-,-,41,60,0.683,73,114,187,36,12,6,30,59,1977-1978
32,Larry Kenon,SAS,6,200.0,106,46,103,0.447,-,-,-,14,19,0.737,16,39,55,22,5,2,19,23,1977-1978
33,Ray Williams,NYK,6,140.0,105,41,78,0.526,-,-,-,23,26,0.885,6,9,15,31,6,0,17,25,1977-1978
34,Maurice Lucas,POR,6,233.0,103,46,108,0.426,-,-,-,11,19,0.579,19,56,75,15,4,2,19,28,1977-1978
35,Ralph Simpson,DEN,13,225.0,102,43,95,0.453,-,-,-,16,23,0.696,5,14,19,38,4,2,21,20,1977-1978
36,Quinn Buckner,MIL,9,257.0,101,43,86,0.5,-,-,-,15,23,0.652,3,24,27,62,18,1,39,30,1977-1978
37,Lionel Hollins,POR,6,223.0,100,40,89,0.449,-,-,-,20,29,0.69,5,24,29,33,7,0,19,21,1977-1978
38,Spencer Haywood,NYK,6,177.0,97,43,85,0.506,-,-,-,11,11,1.0,19,23,42,12,2,5,10,24,1977-1978
39,Junior Bridgeman,MIL,9,178.0,94,44,91,0.484,-,-,-,6,8,0.75,6,12,18,11,9,2,8,31,1977-1978
40,Wally Walker,SEA,20,261.0,93,36,85,0.424,-,-,-,21,26,0.808,20,18,38,12,8,4,18,51,1977-1978
41,Tom Owens,POR,6,200.0,91,38,69,0.551,-,-,-,15,21,0.714,13,26,39,26,5,7,7,30,1977-1978
42,Johnny Davis,POR,6,201.0,86,35,76,0.461,-,-,-,16,23,0.696,3,7,10,13,1,2,11,15,1977-1978
43,Henry Bibby,PHI,10,289.0,86,33,82,0.402,-,-,-,20,22,0.909,9,21,30,48,12,0,22,25,1977-1978
44,Greg Ballard,WAS,19,243.0,74,21,63,0.333,-,-,-,32,41,0.78,27,52,79,18,9,3,14,29,1977-1978
45,Darnell Hillman,DEN,13,260.0,73,31,79,0.392,-,-,-,11,15,0.733,25,55,80,18,6,7,24,49,1977-1978
46,John Gianelli,MIL,9,290.0,70,25,59,0.424,-,-,-,20,26,0.769,16,42,58,14,8,11,13,24,1977-1978
47,Billy Paultz,SAS,6,191.0,69,29,63,0.46,-,-,-,11,17,0.647,7,34,41,14,5,5,6,10,1977-1978
48,Larry Steele,POR,6,191.0,69,25,60,0.417,-,-,-,19,21,0.905,8,18,26,14,7,2,12,22,1977-1978
49,Lonnie Shelton,NYK,6,151.0,66,30,56,0.536,-,-,-,6,8,0.75,18,26,44,17,2,5,14,29,1977-1978
50,Mack Calvin,DEN,12,135.0,65,19,42,0.452,-,-,-,27,29,0.931,3,5,8,21,7,0,11,11,1977-1978
51,Mike Green,SAS,6,174.0,65,28,58,0.483,-,-,-,9,10,0.9,17,27,44,11,5,16,8,21,1977-1978
52,Caldwell Jones,PHI,10,301.0,64,28,56,0.5,-,-,-,8,10,0.8,22,84,106,14,5,30,19,36,1977-1978
53,Darryl Dawkins,PHI,10,180.0,63,27,53,0.509,-,-,-,9,17,0.529,6,51,57,10,3,15,14,34,1977-1978
54,Mark Olberding,SAS,6,152.0,63,25,51,0.49,-,-,-,13,15,0.867,9,21,30,14,6,6,8,23,1977-1978
55,Earl Monroe,NYK,6,145.0,59,24,62,0.387,-,-,-,11,18,0.611,1,4,5,17,6,0,6,15,1977-1978
56,Butch Beard,NYK,6,160.0,54,24,48,0.5,-,-,-,6,10,0.6,7,14,21,27,10,2,11,22,1977-1978
57,Jim McMillian,NYK,6,134.0,53,24,53,0.453,-,-,-,5,6,0.833,9,12,21,11,7,0,7,3,1977-1978
58,Mike Gale,SAS,6,201.0,52,25,56,0.446,-,-,-,2,4,0.5,7,18,25,31,7,4,17,15,1977-1978
59,Joe Bryant,PHI,10,122.0,50,21,47,0.447,-,-,-,8,11,0.727,7,18,25,9,6,1,5,22,1977-1978
60,Bo Ellis,DEN,12,170.0,46,17,40,0.425,-,-,-,12,15,0.8,15,28,43,8,6,8,14,25,1977-1978
61,Lloyd Walton,MIL,9,124.0,42,17,35,0.486,-,-,-,8,13,0.615,1,3,4,37,8,3,14,8,1977-1978
62,Robert Smith,DEN,11,96.0,39,17,26,0.654,-,-,-,5,7,0.714,5,4,9,17,6,0,8,13,1977-1978
63,Dave Twardzik,POR,6,108.0,36,11,23,0.478,-,-,-,14,14,1.0,1,3,4,11,7,0,10,16,1977-1978
64,Louie Dampier,SAS,6,129.0,35,17,37,0.459,-,-,-,1,4,0.25,1,6,7,15,4,2,4,7,1977-1978
65,Jim Cleamons,NYK,6,127.0,34,14,36,0.389,-,-,-,6,6,1.0,5,8,13,23,3,0,8,13,1977-1978
66,Corky Calhoun,POR,6,109.0,34,15,29,0.517,-,-,-,4,7,0.571,6,8,14,3,2,1,3,6,1977-1978
67,Coby Dietrick,SAS,6,96.0,29,14,27,0.519,-,-,-,1,2,0.5,8,17,25,4,5,5,9,18,1977-1978
68,Kent Benson,MIL,9,103.0,28,11,23,0.478,-,-,-,6,11,0.545,5,10,15,3,5,3,6,20,1977-1978
69,Bruce Seals,SEA,9,92.0,27,12,37,0.324,-,-,-,3,7,0.429,8,12,20,8,2,2,6,14,1977-1978
1,Julius Erving,PHI,19,758.0,518,204,390,0.523,-,-,-,110,134,0.821,41,81,122,85,41,23,-,45,1976-1977
2,Doug Collins,PHI,19,759.0,425,177,318,0.557,-,-,-,71,96,0.74,30,49,79,74,28,3,-,57,1976-1977
3,Maurice Lucas,POR,19,731.0,403,164,316,0.519,-,-,-,75,101,0.743,43,145,188,79,28,23,-,79,1976-1977
4,Kareem Abdul-Jabbar,LAL,11,467.0,381,147,242,0.607,-,-,-,87,120,0.725,51,144,195,45,19,38,-,42,1976-1977
5,Bill Walton,POR,19,755.0,345,153,302,0.507,-,-,-,39,57,0.684,56,232,288,104,20,64,-,80,1976-1977
6,Lionel Hollins,POR,19,682.0,328,134,321,0.417,-,-,-,60,88,0.682,13,39,52,85,47,5,-,74,1976-1977
7,Rick Barry,GSW,10,415.0,284,122,262,0.466,-,-,-,40,44,0.909,25,34,59,47,17,7,-,32,1976-1977
8,George McGinnis,PHI,19,603.0,269,102,273,0.374,-,-,-,65,114,0.57,62,136,198,69,23,6,-,83,1976-1977
9,Bob Gross,POR,19,583.0,268,110,186,0.591,-,-,-,48,54,0.889,49,63,112,80,32,15,-,84,1976-1977
10,Rudy Tomjanovich,HOU,12,457.0,243,107,212,0.505,-,-,-,29,37,0.784,24,41,65,24,7,3,-,36,1976-1977
11,Calvin Murphy,HOU,12,420.0,232,102,213,0.479,-,-,-,28,30,0.933,7,12,19,75,19,2,-,47,1976-1977
12,Moses Malone,HOU,12,518.0,225,81,162,0.5,-,-,-,63,91,0.692,84,119,203,7,13,21,-,42,1976-1977
13,Phil Chenier,WAS,9,360.0,225,90,189,0.476,-,-,-,45,56,0.804,8,32,40,23,15,4,-,16,1976-1977
14,Henry Bibby,PHI,19,691.0,211,83,197,0.421,-,-,-,45,59,0.763,28,43,71,75,24,2,-,59,1976-1977
15,Jo Jo White,BOS,9,395.0,210,91,201,0.453,-,-,-,28,33,0.848,10,29,39,52,14,0,-,27,1976-1977
16,Elvin Hayes,WAS,9,405.0,189,74,173,0.428,-,-,-,41,59,0.695,29,93,122,17,10,22,-,39,1976-1977
17,World B. Free,PHI,15,281.0,179,63,170,0.371,-,-,-,53,77,0.688,10,22,32,29,12,8,-,33,1976-1977
18,John Lucas,HOU,12,430.0,176,75,139,0.54,-,-,-,26,34,0.765,4,29,33,83,24,4,-,33,1976-1977
19,Cazzie Russell,LAL,11,382.0,174,65,157,0.414,-,-,-,44,50,0.88,22,26,48,25,16,1,-,33,1976-1977
20,Mike Newlin,HOU,12,316.0,171,75,143,0.524,-,-,-,21,28,0.75,8,26,34,53,15,0,-,37,1976-1977
21,Johnny Davis,POR,16,436.0,168,65,133,0.489,-,-,-,38,53,0.717,10,23,33,52,28,3,-,32,1976-1977
22,John Havlicek,BOS,9,375.0,165,62,167,0.371,-,-,-,41,50,0.82,15,34,49,62,8,4,-,33,1976-1977
23,Jamaal Wilkes,GSW,10,346.0,155,66,154,0.429,-,-,-,23,28,0.821,18,62,80,16,16,6,-,23,1976-1977
24,Dave Twardzik,POR,14,354.0,153,55,93,0.591,-,-,-,43,59,0.729,4,20,24,39,16,2,-,47,1976-1977
25,Earl Tatum,LAL,11,356.0,150,67,134,0.5,-,-,-,16,24,0.667,16,38,54,27,15,9,-,34,1976-1977
26,Dave Cowens,BOS,9,379.0,149,66,148,0.446,-,-,-,17,22,0.773,29,105,134,36,8,13,-,37,1976-1977
27,Steve Mix,PHI,19,412.0,149,56,107,0.523,-,-,-,37,45,0.822,22,42,64,44,21,3,-,39,1976-1977
28,David Thompson,DEN,6,237.0,148,56,121,0.463,-,-,-,36,53,0.679,13,18,31,24,9,4,-,22,1976-1977
29,Charlie Scott,BOS,9,338.0,148,52,128,0.406,-,-,-,44,52,0.846,15,23,38,38,13,2,-,41,1976-1977
30,Mitch Kupchak,WAS,9,252.0,146,53,90,0.589,-,-,-,40,59,0.678,28,40,68,10,2,3,-,34,1976-1977
31,Phil Smith,GSW,10,371.0,142,53,132,0.402,-,-,-,36,45,0.8,10,40,50,45,14,4,-,24,1976-1977
32,Dan Issel,DEN,6,222.0,132,49,96,0.51,-,-,-,34,45,0.756,18,40,58,17,5,4,-,20,1976-1977
33,Darryl Dawkins,PHI,18,331.0,131,50,95,0.526,-,-,-,31,47,0.66,9,89,98,17,8,18,-,46,1976-1977
34,Tom Henderson,WAS,9,322.0,122,48,108,0.444,-,-,-,26,36,0.722,8,12,20,63,11,2,-,24,1976-1977
35,Robert Parish,GSW,10,239.0,121,52,108,0.481,-,-,-,17,26,0.654,43,60,103,11,7,11,-,42,1976-1977
36,Sidney Wicks,BOS,9,261.0,118,42,81,0.519,-,-,-,34,47,0.723,26,57,83,16,13,3,-,37,1976-1977
37,Herm Gilliam,POR,18,295.0,115,53,123,0.431,-,-,-,9,12,0.75,7,13,20,32,13,1,-,29,1976-1977
38,Kevin Kunnert,HOU,12,328.0,114,51,104,0.49,-,-,-,12,23,0.522,48,59,107,14,2,8,-,51,1976-1977
39,Don Ford,LAL,11,333.0,111,42,98,0.429,-,-,-,27,36,0.75,22,36,58,37,17,4,-,28,1976-1977
40,Clifford Ray,GSW,10,304.0,100,42,76,0.553,-,-,-,16,28,0.571,54,61,115,15,4,9,-,37,1976-1977
41,Caldwell Jones,PHI,19,513.0,92,37,73,0.507,-,-,-,18,30,0.6,38,112,150,20,9,40,-,81,1976-1977
42,Gus Williams,GSW,10,184.0,88,35,70,0.5,-,-,-,18,21,0.857,9,6,15,25,8,1,-,30,1976-1977
43,Don Chaney,LAL,11,412.0,88,36,96,0.375,-,-,-,16,22,0.727,24,28,52,48,21,3,-,32,1976-1977
44,Kevin Grevey,WAS,9,225.0,87,36,88,0.409,-,-,-,15,23,0.652,10,6,16,8,2,5,-,20,1976-1977
45,Curtis Rowe,BOS,9,237.0,86,32,68,0.471,-,-,-,22,29,0.759,29,43,72,10,1,4,-,29,1976-1977
46,Lloyd Neal,POR,19,206.0,77,30,63,0.476,-,-,-,17,26,0.654,21,49,70,17,2,8,-,34,1976-1977
47,Lucius Allen,LAL,7,186.0,77,32,82,0.39,-,-,-,13,19,0.684,7,25,32,24,11,3,-,18,1976-1977
48,Larry Steele,POR,18,261.0,76,26,70,0.371,-,-,-,24,32,0.75,12,15,27,18,9,0,-,30,1976-1977
49,Dwight Jones,HOU,12,246.0,74,28,63,0.444,-,-,-,18,23,0.783,13,38,51,15,8,3,-,32,1976-1977
50,Bobby Jones,DEN,6,187.0,72,31,64,0.484,-,-,-,10,17,0.588,11,24,35,21,17,14,-,25,1976-1977
51,Wes Unseld,WAS,9,368.0,67,30,54,0.556,-,-,-,7,12,0.583,24,81,105,44,8,6,-,32,1976-1977
52,Charles Johnson,GSW,10,161.0,65,29,74,0.392,-,-,-,7,8,0.875,5,10,15,7,8,1,-,16,1976-1977
53,Tom Abernethy,LAL,11,214.0,64,21,50,0.42,-,-,-,22,27,0.815,12,28,40,22,7,2,-,16,1976-1977
54,Mack Calvin,DEN,6,112.0,62,19,40,0.475,-,-,-,24,29,0.828,1,8,9,13,1,0,-,13,1976-1977
55,John Johnson,HOU,12,146.0,58,24,61,0.393,-,-,-,10,15,0.667,7,22,29,9,4,0,-,20,1976-1977
56,Larry Wright,WAS,8,104.0,53,19,39,0.487,-,-,-,15,21,0.714,1,6,7,16,7,1,-,18,1976-1977
57,Willie Wise,DEN,6,106.0,45,14,41,0.341,-,-,-,17,25,0.68,6,22,28,3,0,1,-,16,1976-1977
58,Ted McClain,DEN,6,170.0,44,19,46,0.413,-,-,-,6,8,0.75,5,9,14,27,10,2,-,12,1976-1977
59,Wally Walker,POR,10,83.0,43,20,36,0.556,-,-,-,3,7,0.429,2,5,7,8,3,0,-,20,1976-1977
60,Jim Price,DEN,6,158.0,43,19,53,0.358,-,-,-,5,8,0.625,6,18,24,25,12,1,-,18,1976-1977
61,Sonny Parker,GSW,10,120.0,42,19,36,0.528,-,-,-,4,4,1.0,9,19,28,9,5,2,-,9,1976-1977
62,Paul Silas,DEN,6,141.0,41,14,33,0.424,-,-,-,13,24,0.542,16,24,40,16,2,4,-,23,1976-1977
63,Charles Dudley,GSW,10,236.0,41,13,37,0.351,-,-,-,15,23,0.652,17,21,38,69,7,0,-,28,1976-1977
64,Robin Jones,POR,19,105.0,36,15,32,0.469,-,-,-,6,9,0.667,8,15,23,9,4,4,-,24,1976-1977
65,Bo Lamar,LAL,10,109.0,33,12,41,0.293,-,-,-,9,10,0.9,0,9,9,14,3,0,-,12,1976-1977
66,Marvin Webster,DEN,6,96.0,30,13,26,0.5,-,-,-,4,6,0.667,14,26,40,3,2,11,-,12,1976-1977
67,Corky Calhoun,POR,12,94.0,28,13,25,0.52,-,-,-,2,3,0.667,6,8,14,4,4,2,-,16,1976-1977
68,Tom Boswell,BOS,9,81.0,20,8,18,0.444,-,-,-,4,6,0.667,10,10,20,7,1,0,-,18,1976-1977
1,Jo Jo White,BOS,18,791.0,408,165,371,0.445,-,-,-,78,95,0.821,12,59,71,98,23,1,-,51,1975-1976
2,Paul Westphal,PHX,19,685.0,401,165,323,0.511,-,-,-,71,93,0.763,14,33,47,96,34,9,-,61,1975-1976
3,Dave Cowens,BOS,18,798.0,378,156,341,0.457,-,-,-,66,87,0.759,87,209,296,83,22,13,-,85,1975-1976
4,Alvan Adams,PHX,19,668.0,341,137,303,0.452,-,-,-,67,82,0.817,54,137,191,98,24,20,-,60,1975-1976
5,Phil Smith,GSW,13,493.0,312,127,245,0.518,-,-,-,58,79,0.734,23,38,61,60,21,6,-,33,1975-1976
6,Rick Barry,GSW,13,532.0,312,126,289,0.436,-,-,-,60,68,0.882,20,64,84,84,38,14,-,40,1975-1976
7,Charlie Scott,BOS,18,632.0,277,111,284,0.391,-,-,-,55,72,0.764,23,53,76,71,21,8,-,97,1975-1976
8,Gar Heard,PHX,19,721.0,265,105,238,0.441,-,-,-,55,81,0.679,53,144,197,33,39,37,-,56,1975-1976
9,Bob McAdoo,BUF,9,406.0,252,97,215,0.451,-,-,-,58,82,0.707,31,97,128,29,7,18,-,37,1975-1976
10,Ricky Sobers,PHX,19,563.0,247,96,205,0.468,-,-,-,55,66,0.833,20,43,63,79,18,6,-,77,1975-1976
11,Curtis Perry,PHX,19,615.0,242,99,218,0.454,-,-,-,44,68,0.647,63,83,146,36,12,17,-,78,1975-1976
12,Bob Lanier,DET,9,359.0,235,95,172,0.552,-,-,-,45,50,0.9,39,75,114,30,8,21,-,34,1975-1976
13,Keith Erickson,PHX,19,426.0,215,80,173,0.462,-,-,-,55,68,0.809,15,52,67,35,11,4,-,61,1975-1976
14,Jamaal Wilkes,GSW,13,450.0,207,86,200,0.43,-,-,-,35,45,0.778,25,78,103,29,12,8,-,33,1975-1976
15,Randy Smith,BUF,9,386.0,203,81,161,0.503,-,-,-,41,49,0.837,5,47,52,77,14,0,-,35,1975-1976
16,John Havlicek,BOS,15,505.0,198,80,180,0.444,-,-,-,38,47,0.809,18,38,56,51,12,5,-,32,1975-1976
17,Paul Silas,BOS,18,741.0,194,69,154,0.448,-,-,-,56,69,0.812,78,168,246,42,24,6,-,67,1975-1976
18,Jim Cleamons,CLE,13,503.0,179,73,184,0.397,-,-,-,33,40,0.825,23,48,71,61,8,3,-,34,1975-1976
19,Campy Russell,CLE,13,328.0,177,65,161,0.404,-,-,-,47,55,0.855,25,46,71,14,8,7,-,51,1975-1976
20,Fred Brown,SEA,6,236.0,171,68,133,0.511,-,-,-,35,44,0.795,12,16,28,17,13,0,-,20,1975-1976
21,Bingo Smith,CLE,13,379.0,164,71,164,0.433,-,-,-,22,25,0.88,11,32,43,30,11,3,-,41,1975-1976
22,Don Nelson,BOS,18,315.0,164,52,108,0.481,-,-,-,60,69,0.87,17,36,53,17,3,2,-,46,1975-1976
23,Dick Van Arsdale,PHX,19,472.0,162,61,125,0.488,-,-,-,40,46,0.87,10,13,23,38,13,2,-,41,1975-1976
24,Dick Snyder,CLE,13,364.0,156,69,153,0.451,-,-,-,18,22,0.818,10,19,29,31,11,6,-,35,1975-1976
25,Jim McMillian,BUF,9,348.0,155,61,129,0.473,-,-,-,33,38,0.868,11,26,37,19,14,4,-,29,1975-1976
26,Austin Carr,CLE,13,273.0,154,66,138,0.478,-,-,-,22,36,0.611,11,12,23,26,6,3,-,29,1975-1976
27,Elvin Hayes,WAS,7,305.0,140,54,122,0.443,-,-,-,32,55,0.582,16,72,88,10,5,28,-,24,1975-1976
28,Curtis Rowe,DET,9,346.0,135,53,111,0.477,-,-,-,29,34,0.853,25,45,70,26,6,8,-,27,1975-1976
29,John Shumate,BUF,9,362.0,127,54,92,0.587,-,-,-,19,38,0.5,25,52,77,25,9,13,-,29,1975-1976
30,Phil Chenier,WAS,7,265.0,126,56,128,0.438,-,-,-,14,17,0.824,6,20,26,11,6,3,-,27,1975-1976
31,Tom Burleson,SEA,6,208.0,125,45,75,0.6,-,-,-,35,46,0.761,15,42,57,10,6,8,-,25,1975-1976
32,Charles Johnson,GSW,13,284.0,120,52,127,0.409,-,-,-,16,19,0.842,14,21,35,20,22,0,-,39,1975-1976
33,Clifford Ray,GSW,13,377.0,118,48,79,0.608,-,-,-,22,34,0.647,43,87,130,20,19,19,-,47,1975-1976
34,Howard Porter,DET,9,213.0,117,51,97,0.526,-,-,-,15,17,0.882,22,20,42,6,7,5,-,24,1975-1976
35,Jim Brewer,CLE,13,489.0,114,44,101,0.436,-,-,-,26,48,0.542,40,100,140,37,13,12,-,34,1975-1976
36,Eric Money,DET,9,273.0,113,48,105,0.457,-,-,-,17,21,0.81,10,12,22,51,14,1,-,36,1975-1976
37,Jim Chones,CLE,7,242.0,105,47,114,0.412,-,-,-,11,18,0.611,14,36,50,6,1,6,-,23,1975-1976
38,Steve Kuberski,BOS,18,232.0,97,38,81,0.469,-,-,-,21,26,0.808,16,35,51,16,0,3,-,38,1975-1976
39,Dave Bing,WAS,7,209.0,96,34,76,0.447,-,-,-,28,35,0.8,6,12,18,28,7,2,-,18,1975-1976
40,Charles Dudley,GSW,13,260.0,90,33,57,0.579,-,-,-,24,33,0.727,20,16,36,38,22,1,-,29,1975-1976
41,George Trapp,DET,9,153.0,89,37,89,0.416,-,-,-,15,18,0.833,12,23,35,9,4,4,-,26,1975-1976
42,Nate Thurmond,CLE,13,375.0,87,37,79,0.468,-,-,-,13,32,0.406,38,79,117,28,6,29,-,52,1975-1976
43,John Mengelt,DET,9,119.0,87,34,56,0.607,-,-,-,19,27,0.704,2,12,14,10,4,1,-,22,1975-1976
44,Nick Weatherspoon,WAS,7,224.0,86,36,80,0.45,-,-,-,14,25,0.56,10,32,42,10,2,4,-,28,1975-1976
45,Bruce Seals,SEA,6,181.0,78,30,68,0.441,-,-,-,18,26,0.692,14,22,36,3,5,6,-,22,1975-1976
46,Chris Ford,DET,9,276.0,78,33,81,0.407,-,-,-,12,15,0.8,6,30,36,40,11,5,-,33,1975-1976
47,Derrek Dickey,GSW,12,173.0,76,31,62,0.5,-,-,-,14,17,0.824,18,24,42,6,2,1,-,27,1975-1976
48,George Johnson,GSW,13,261.0,76,31,54,0.574,-,-,-,14,19,0.737,38,49,87,17,14,23,-,46,1975-1976
49,Gus Williams,GSW,11,178.0,74,30,85,0.353,-,-,-,14,21,0.667,5,9,14,26,11,0,-,22,1975-1976
50,Archie Clark,DET,9,192.0,72,30,62,0.484,-,-,-,12,18,0.667,2,19,21,29,6,0,-,25,1975-1976
51,Slick Watts,SEA,6,197.0,71,30,69,0.435,-,-,-,11,23,0.478,5,13,18,49,12,2,-,28,1975-1976
52,Ernie DiGregorio,BUF,9,217.0,68,30,62,0.484,-,-,-,8,8,1.0,1,12,13,45,5,2,-,29,1975-1976
53,Jimmy Jones,WAS,7,165.0,62,22,45,0.489,-,-,-,18,21,0.857,2,15,17,10,10,0,-,15,1975-1976
54,Dennis Awtrey,PHX,19,286.0,60,21,45,0.467,-,-,-,18,33,0.545,17,46,63,25,5,9,-,38,1975-1976
55,Willie Norwood,SEA,6,215.0,59,24,58,0.414,-,-,-,11,18,0.611,20,18,38,8,7,1,-,25,1975-1976
56,Mike Bantom,SEA,6,114.0,58,22,38,0.579,-,-,-,14,20,0.7,9,14,23,8,4,2,-,27,1975-1976
57,Kenny Charles,BUF,9,238.0,53,22,55,0.4,-,-,-,9,13,0.692,6,20,26,14,7,6,-,31,1975-1976
58,Dwight Davis,GSW,11,142.0,50,16,37,0.432,-,-,-,18,22,0.818,9,19,28,10,3,4,-,28,1975-1976
59,Wes Unseld,WAS,7,310.0,49,18,39,0.462,-,-,-,13,24,0.542,26,59,85,28,6,4,-,19,1975-1976
60,Truck Robinson,WAS,7,137.0,49,16,37,0.432,-,-,-,17,21,0.81,8,25,33,5,5,8,-,27,1975-1976
61,Al Eberhard,DET,8,182.0,48,17,39,0.436,-,-,-,14,19,0.737,11,15,26,7,8,4,-,14,1975-1976
62,Jim Ard,BOS,16,110.0,37,13,29,0.448,-,-,-,11,14,0.786,10,16,26,8,1,3,-,29,1975-1976
63,Don Adams,BUF,9,122.0,36,15,36,0.417,-,-,-,6,7,0.857,8,19,27,13,2,0,-,23,1975-1976
64,Kevin Stacom,BOS,17,195.0,34,13,45,0.289,-,-,-,8,11,0.727,9,8,17,16,5,0,-,21,1975-1976
65,Phil Lumpkin,PHX,17,136.0,31,10,30,0.333,-,-,-,11,14,0.786,5,8,13,21,2,0,-,8,1975-1976
66,Foots Walker,CLE,13,125.0,30,11,27,0.407,-,-,-,8,10,0.8,5,11,16,23,7,1,-,17,1975-1976
67,Nate Hawthorne,PHX,15,81.0,26,9,26,0.346,-,-,-,8,11,0.727,5,11,16,4,5,1,-,20,1975-1976
68,Tal Skinner,SEA,6,86.0,19,4,14,0.286,-,-,-,11,15,0.733,6,9,15,7,5,2,-,9,1975-1976
69,Herm Gilliam,SEA,6,86.0,17,6,27,0.222,-,-,-,5,8,0.625,3,8,11,12,6,0,-,10,1975-1976
1,Rick Barry,GSW,17,726.0,479,189,426,0.444,-,-,-,101,110,0.918,22,72,94,103,50,15,-,51,1974-1975
2,Elvin Hayes,WAS,17,751.0,434,174,372,0.468,-,-,-,86,127,0.677,46,140,186,37,26,39,-,70,1974-1975
3,Phil Chenier,WAS,17,692.0,412,155,330,0.47,-,-,-,102,114,0.895,18,58,76,54,22,11,-,45,1974-1975
4,Bob Love,CHI,13,583.0,336,138,316,0.437,-,-,-,60,77,0.779,31,67,98,19,10,5,-,41,1974-1975
5,Bob McAdoo,BUF,7,327.0,262,104,216,0.481,-,-,-,54,73,0.74,25,69,94,10,6,19,-,29,1974-1975
6,Jamaal Wilkes,GSW,17,503.0,255,111,249,0.446,-,-,-,33,47,0.702,30,89,119,28,26,14,-,53,1974-1975
7,Kevin Porter,WAS,17,625.0,244,99,197,0.503,-,-,-,46,69,0.667,13,28,41,124,21,0,-,73,1974-1975
8,John Havlicek,BOS,11,464.0,232,83,192,0.432,-,-,-,66,76,0.868,18,39,57,51,16,1,-,38,1974-1975
9,Chet Walker,CHI,13,432.0,228,81,164,0.494,-,-,-,66,75,0.88,10,50,60,24,13,1,-,32,1974-1975
10,Jo Jo White,BOS,11,462.0,227,100,227,0.441,-,-,-,27,33,0.818,18,32,50,63,11,4,-,32,1974-1975
11,Dave Cowens,BOS,11,479.0,225,101,236,0.428,-,-,-,23,26,0.885,49,132,181,46,18,6,-,50,1974-1975
12,Charles Johnson,GSW,17,508.0,212,97,231,0.42,-,-,-,18,24,0.75,19,41,60,35,25,6,-,54,1974-1975
13,Norm Van Lier,CHI,13,547.0,196,67,164,0.409,-,-,-,62,83,0.747,18,49,67,61,20,5,-,52,1974-1975
14,Calvin Murphy,HOU,8,305.0,195,72,156,0.462,-,-,-,51,57,0.895,9,10,19,45,14,1,-,36,1974-1975
